trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
2820939, 6:07:50, 6:07:50,2646,52,,0,0,10.5036
2820939, 6:08:17, 6:08:17,2616,53,,0,0,10.7104
2820939, 6:08:50, 6:08:50,2617,54,,0,0,10.9572
2820940, 6:56:50, 6:56:50,2646,117,,0,0,36.7449
2820940, 6:57:17, 6:57:17,2616,118,,0,0,36.9517
2820940, 6:57:50, 6:57:50,2617,119,,0,0,37.1984
2820941, 7:21:50, 7:21:50,2646,117,,0,0,36.7449
2820941, 7:22:17, 7:22:17,2616,118,,0,0,36.9517
2820941, 7:22:50, 7:22:50,2617,119,,0,0,37.1984
2820942, 7:46:50, 7:46:50,2646,117,,0,0,36.7449
2820942, 7:47:17, 7:47:17,2616,118,,0,0,36.9517
2820942, 7:47:50, 7:47:50,2617,119,,0,0,37.1984
2820943, 8:11:50, 8:11:50,2646,117,,0,0,36.7449
2820943, 8:12:17, 8:12:17,2616,118,,0,0,36.9517
2820943, 8:12:50, 8:12:50,2617,119,,0,0,37.1984
2820944, 8:36:50, 8:36:50,2646,117,,0,0,36.7449
2820944, 8:37:17, 8:37:17,2616,118,,0,0,36.9517
2820944, 8:37:50, 8:37:50,2617,119,,0,0,37.1984
2820945, 9:01:50, 9:01:50,2646,117,,0,0,36.7449
2820945, 9:02:17, 9:02:17,2616,118,,0,0,36.9517
2820945, 9:02:50, 9:02:50,2617,119,,0,0,37.1984
2820946, 9:26:50, 9:26:50,2646,117,,0,0,36.7449
2820946, 9:27:17, 9:27:17,2616,118,,0,0,36.9517
2820946, 9:27:50, 9:27:50,2617,119,,0,0,37.1984
2820947, 9:51:50, 9:51:50,2646,117,,0,0,36.7449
2820947, 9:52:17, 9:52:17,2616,118,,0,0,36.9517
2820947, 9:52:50, 9:52:50,2617,119,,0,0,37.1984
2820948,10:16:50,10:16:50,2646,117,,0,0,36.7449
2820948,10:17:17,10:17:17,2616,118,,0,0,36.9517
2820948,10:17:50,10:17:50,2617,119,,0,0,37.1984
2820949,10:41:50,10:41:50,2646,117,,0,0,36.7449
2820949,10:42:17,10:42:17,2616,118,,0,0,36.9517
2820949,10:42:50,10:42:50,2617,119,,0,0,37.1984
2820950,11:06:50,11:06:50,2646,117,,0,0,36.7449
2820950,11:07:17,11:07:17,2616,118,,0,0,36.9517
2820950,11:07:50,11:07:50,2617,119,,0,0,37.1984
2820951,11:31:50,11:31:50,2646,117,,0,0,36.7449
2820951,11:32:17,11:32:17,2616,118,,0,0,36.9517
2820951,11:32:50,11:32:50,2617,119,,0,0,37.1984
2820952,11:56:50,11:56:50,2646,117,,0,0,36.7449
2820952,11:57:17,11:57:17,2616,118,,0,0,36.9517
2820952,11:57:50,11:57:50,2617,119,,0,0,37.1984
